sample_id,ticker,name,weekly_date,fast_score,fast_score_status,fast_stage,fast_stage_status,monthly_regime,daily_risk,pattern_a_score,pattern_a_stage,pattern_a_candidate_active,is_trigger_event,is_primary_entry_event,is_early_variant_event,is_any_control_event
INV_OOS_B_001,178920,PI첨단소재,2023-06-30,,UNAVAILABLE,TREND,READY,UNAVAILABLE,EXTREME,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-07-07,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,ELEVATED,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-07-14,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-07-21,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-07-28,,UNAVAILABLE,WATCH,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-08-04,42.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-08-11,42.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-08-18,42.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-08-25,42.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-09-01,42.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-09-08,38.88,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-09-15,38.88,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-09-22,37.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-10-06,37.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-10-13,37.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-10-20,37.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-10-27,37.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-11-03,37.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-11-10,37.31,PARTIAL,WATCH,READY,EARLY_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-11-17,42.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-11-24,42.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-12-01,37.31,PARTIAL,WATCH,READY,EARLY_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-12-08,42.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-12-15,42.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2023-12-22,47.37,PARTIAL,SETUP,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-01-05,57.87,PARTIAL,SETUP,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-01-12,54.57,PARTIAL,SETUP,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-01-19,44.07,PARTIAL,SETUP,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-01-26,44.07,PARTIAL,SETUP,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-02-02,44.07,PARTIAL,SETUP,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-02-16,38.88,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-02-23,38.88,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-03-08,35.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-03-15,35.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-03-22,35.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-03-29,36.62,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-04-05,35.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-04-12,35.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-04-19,35.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-04-26,40.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-05-03,40.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-05-10,50.81,PARTIAL,SETUP,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-05-17,50.81,PARTIAL,SETUP,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-05-24,50.81,PARTIAL,SETUP,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-05-31,61.31,PARTIAL,SETUP,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-06-07,61.31,PARTIAL,SETUP,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-06-14,61.31,PARTIAL,SETUP,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-06-21,56.31,PARTIAL,SETUP,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-06-28,57.81,PARTIAL,SETUP,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-07-05,57.57,PARTIAL,SETUP,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-07-12,71.57,PARTIAL,TREND,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_001,178920,PI첨단소재,2024-07-19,71.57,PARTIAL,TRIGGER,READY,PERMITTED_REGIME,NORMAL,,,,True,True,False,True
INV_OOS_B_001,178920,PI첨단소재,2024-07-26,63.32,PARTIAL,SETUP,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-03-31,,UNAVAILABLE,TRIGGER,READY,UNAVAILABLE,EXTREME,,,,True,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-04-07,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-04-14,,UNAVAILABLE,TRIGGER,READY,UNAVAILABLE,ELEVATED,,,,True,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-04-21,,UNAVAILABLE,TRIGGER,READY,UNAVAILABLE,EXTREME,,,,True,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-04-28,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,EXTREME,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-05-12,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,EXTREME,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-05-19,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-05-26,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-06-02,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-06-09,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-06-16,,UNAVAILABLE,TRIGGER,READY,UNAVAILABLE,ELEVATED,,,,True,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-06-23,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-06-30,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-07-07,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,EXTREME,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-07-14,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-07-21,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-07-28,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-08-04,59.5,PARTIAL,SETUP,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-08-11,59.5,PARTIAL,SETUP,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-08-18,60.82,PARTIAL,SETUP,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-08-25,52.81,PARTIAL,SETUP,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-09-01,47.56,PARTIAL,SETUP,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-09-08,52.81,PARTIAL,WATCH,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-09-15,46.81,PARTIAL,WATCH,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-09-22,46.81,PARTIAL,WATCH,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-10-06,45.31,PARTIAL,WATCH,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-10-13,45.31,PARTIAL,WATCH,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-10-20,45.31,PARTIAL,WATCH,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-10-27,40.06,PARTIAL,WATCH,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-11-03,37.81,PARTIAL,WATCH,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-11-10,31.25,PARTIAL,WATCH,READY,PERMITTED_REGIME,EXTREME,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-11-17,36.5,PARTIAL,WATCH,READY,PERMITTED_REGIME,EXTREME,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-11-24,43.06,PARTIAL,WATCH,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-12-01,51.31,PARTIAL,WATCH,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-12-08,50.0,PARTIAL,WATCH,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-12-15,52.5,PARTIAL,SETUP,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2023-12-22,58.81,PARTIAL,SETUP,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2024-01-05,64.06,PARTIAL,SETUP,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2024-01-12,69.31,PARTIAL,SETUP,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2024-01-19,69.31,PARTIAL,SETUP,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2024-01-26,60.32,PARTIAL,SETUP,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2024-02-02,60.32,PARTIAL,SETUP,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2024-02-16,74.32,PARTIAL,TREND,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2024-02-23,79.57,PARTIAL,TRIGGER,READY,PERMITTED_REGIME,NORMAL,,,,True,True,False,True
INV_OOS_B_002,281740,레이크머티리얼즈,2024-03-08,67.75,PARTIAL,TRIGGER,READY,PERMITTED_REGIME,EXTREME,,,,True,False,False,True
INV_OOS_B_002,281740,레이크머티리얼즈,2024-03-15,72.5,PARTIAL,SETUP,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2024-03-22,72.5,PARTIAL,SETUP,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2024-03-29,62.0,PARTIAL,SETUP,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2024-04-05,70.0,PARTIAL,SETUP,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2024-04-12,70.0,PARTIAL,SETUP,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2024-04-19,56.5,PARTIAL,SETUP,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2024-04-26,52.57,PARTIAL,SETUP,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_002,281740,레이크머티리얼즈,2024-05-03,55.57,PARTIAL,SETUP,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-06-30,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-07-07,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-07-14,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-07-21,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-07-28,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,EXTREME,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-08-04,44.75,PARTIAL,SETUP,READY,EARLY_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-08-11,31.0,PARTIAL,WATCH,READY,EARLY_REGIME,EXTREME,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-08-18,32.31,PARTIAL,WATCH,READY,EARLY_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-08-25,37.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-09-01,31.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-09-08,31.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-09-15,37.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-09-22,31.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-10-06,31.56,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-10-13,30.25,PARTIAL,WATCH,READY,EARLY_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-10-20,25.0,PARTIAL,WATCH,READY,EARLY_REGIME,EXTREME,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-10-27,25.0,PARTIAL,WATCH,READY,EARLY_REGIME,EXTREME,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-11-03,29.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-11-10,29.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-11-17,24.06,PARTIAL,WATCH,READY,EARLY_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-11-24,29.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-12-01,29.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-12-08,29.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-12-15,24.06,PARTIAL,WATCH,READY,EARLY_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2023-12-22,29.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-01-05,29.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-01-12,29.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-01-19,24.06,PARTIAL,WATCH,READY,EARLY_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-01-26,29.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-02-02,24.06,PARTIAL,WATCH,READY,EARLY_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-02-16,30.06,PARTIAL,WATCH,READY,EARLY_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-02-23,28.75,PARTIAL,WATCH,READY,EARLY_REGIME,EXTREME,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-03-08,28.75,PARTIAL,WATCH,READY,EARLY_REGIME,EXTREME,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-03-15,28.75,PARTIAL,WATCH,READY,EARLY_REGIME,EXTREME,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-03-22,47.75,PARTIAL,SETUP,READY,EARLY_REGIME,EXTREME,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-03-29,53.0,PARTIAL,SETUP,READY,EARLY_REGIME,EXTREME,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-04-05,56.5,PARTIAL,SETUP,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-04-12,56.5,PARTIAL,SETUP,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-04-19,46.0,PARTIAL,SETUP,READY,PERMITTED_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-04-26,47.31,PARTIAL,SETUP,READY,PERMITTED_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-05-03,31.56,PARTIAL,SETUP,READY,EARLY_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-05-10,36.81,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-05-17,30.81,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-05-24,30.81,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-05-31,25.56,PARTIAL,WATCH,READY,EARLY_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-06-07,25.56,PARTIAL,WATCH,READY,EARLY_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-06-14,29.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-06-21,29.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-06-28,28.0,PARTIAL,WATCH,READY,EARLY_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-07-05,28.0,PARTIAL,WATCH,READY,EARLY_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-07-12,28.0,PARTIAL,WATCH,READY,EARLY_REGIME,ELEVATED,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-07-19,17.5,PARTIAL,WATCH,READY,EARLY_REGIME,EXTREME,,,,False,False,False,False
INV_OOS_B_003,060230,소니드,2024-07-26,17.5,PARTIAL,WATCH,READY,EARLY_REGIME,EXTREME,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2022-09-30,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2022-10-07,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2022-10-14,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2022-10-21,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2022-10-28,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2022-11-04,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2022-11-11,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,ELEVATED,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2022-11-18,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,ELEVATED,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2022-11-25,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2022-12-02,,UNAVAILABLE,TREND,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2022-12-09,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2022-12-16,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2022-12-23,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2023-01-06,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2023-01-13,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2023-01-20,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2023-01-27,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2023-02-03,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2023-02-10,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,ELEVATED,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2023-02-17,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2023-02-24,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,ELEVATED,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2023-03-03,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2023-03-10,,UNAVAILABLE,WATCH,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2023-03-17,,UNAVAILABLE,WATCH,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
INV_OOS_B_004,064350,현대로템,2023-03-24,,UNAVAILABLE,SETUP,READY,UNAVAILABLE,NORMAL,,,,False,False,False,False
