portfolio,execution_date,event_type,ticker,name,signal_date,signal_type,open_price,shares_before,shares_delta,shares_after,cash_before,cash_delta,cash_after,position_cost_basis,realized_pnl,realized_return,partial_profit_taken,portfolio_equity_after_execution
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-05,ENTRY,007340,DN오토모티브,2021-04-02,ABC_FASTCORE_ENTRY,6188.0,0,808,808,200000000.0,-4999904.0,195000096.0,6188.0,0.0,0.0,False,200000000.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-05,ENTRY,145720,덴티움,2021-04-02,ABC_FASTCORE_ENTRY,69000.0,0,72,72,195000096.0,-4968000.0,190032096.0,69000.0,0.0,0.0,False,200000000.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-05,ENTRY,034810,해성산업,2021-04-02,ABC_FASTCORE_ENTRY,15723.0,0,318,318,190032096.0,-4999914.0,185032182.0,15723.0,0.0,0.0,False,200000000.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-05,ENTRY,036800,나이스정보통신,2021-04-02,ABC_FASTCORE_ENTRY,6020.0,0,830,830,185032182.0,-4996600.0,180035582.0,6020.0,0.0,0.0,False,200000000.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-05,ENTRY,265520,AP시스템,2021-04-02,ABC_FASTCORE_ENTRY,29800.0,0,167,167,180035582.0,-4976600.0,175058982.0,29800.0,0.0,0.0,False,200000000.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-12,ENTRY,084110,휴온스글로벌,2021-04-09,ABC_FASTCORE_ENTRY,34626.0,0,144,144,175058982.0,-4986144.0,170072838.0,34626.0,0.0,0.0,False,199947394.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-12,ENTRY,079550,LIG디펜스앤에어로스페이스,2021-04-09,ABC_FASTCORE_ENTRY,43000.0,0,116,116,170072838.0,-4988000.0,165084838.0,43000.0,0.0,0.0,False,199947394.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-12,ENTRY,192400,쿠쿠홀딩스,2021-04-09,ABC_FASTCORE_ENTRY,26800.0,0,186,186,165084838.0,-4984800.0,160100038.0,26800.0,0.0,0.0,False,199947394.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-12,ENTRY,253450,스튜디오드래곤,2021-04-09,ABC_FASTCORE_ENTRY,105900.0,0,47,47,160100038.0,-4977300.0,155122738.0,105900.0,0.0,0.0,False,199947394.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-12,ENTRY,025000,KPX케미칼,2021-04-09,ABC_FASTCORE_ENTRY,62068.0,0,80,80,155122738.0,-4965440.0,150157298.0,62068.0,0.0,0.0,False,199947394.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-26,PARTIAL_PROFIT,084110,휴온스글로벌,2021-04-09,PROFIT_50_TRIGGER,54372.0,144,-72,72,150157298.0,3914784.0,154072082.0,34626.0,1421712.0,57.026512,True,202643146.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-26,ENTRY,002810,삼영무역,2021-04-23,ABC_FASTCORE_ENTRY,16950.0,0,294,294,154072082.0,-4983300.0,149088782.0,16950.0,0.0,0.0,False,202643146.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-03,FULL_EXIT,079550,LIG디펜스앤에어로스페이스,2021-04-27,FUNDAMENTAL_A_OPERATING_LOSS,39800.0,116,-116,0,149088782.0,4616800.0,153705582.0,43000.0,-371200.0,-7.44186,False,203138908.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-03,ENTRY,028050,삼성E&A,2021-04-30,ABC_FASTCORE_ENTRY,17200.0,0,290,290,153705582.0,-4988000.0,148717582.0,17200.0,0.0,0.0,False,203138908.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-03,ENTRY,115390,락앤락,2021-04-30,ABC_FASTCORE_ENTRY,15529.0,0,321,321,148717582.0,-4984809.0,143732773.0,15529.0,0.0,0.0,False,203138908.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-10,ENTRY,024720,콜마홀딩스,2021-05-07,ABC_FASTCORE_ENTRY,15460.0,0,323,323,143732773.0,-4993580.0,138739193.0,15460.0,0.0,0.0,False,203650090.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-17,ENTRY,023410,유진기업,2021-05-14,ABC_FASTCORE_ENTRY,5860.0,0,853,853,138739193.0,-4998580.0,133740613.0,5860.0,0.0,0.0,False,204230517.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-17,ENTRY,037710,광주신세계,2021-05-14,ABC_FASTCORE_ENTRY,38100.0,0,131,131,133740613.0,-4991100.0,128749513.0,38100.0,0.0,0.0,False,204230517.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-17,ENTRY,049770,동원F&B,2021-05-14,ABC_FASTCORE_ENTRY,46144.0,0,108,108,128749513.0,-4983552.0,123765961.0,46144.0,0.0,0.0,False,204230517.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-17,ENTRY,105630,한세실업,2021-05-14,ABC_FASTCORE_ENTRY,28300.0,0,176,176,123765961.0,-4980800.0,118785161.0,28300.0,0.0,0.0,False,204230517.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-17,ENTRY,072710,농심홀딩스,2021-05-14,ABC_FASTCORE_ENTRY,87700.0,0,57,57,118785161.0,-4998900.0,113786261.0,87700.0,0.0,0.0,False,204230517.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-17,ENTRY,101530,해태제과식품,2021-05-14,ABC_FASTCORE_ENTRY,10850.0,0,460,460,113786261.0,-4991000.0,108795261.0,10850.0,0.0,0.0,False,204230517.0
