strategy,ticker,entry_signal_date,entry_execution_date,entry_price,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,terminal_return_pct,mfe_pct,mae_pct,holding_days,peak_giveback_pct,trade_no,strategy_id,final_valuation_date,final_valuation_price
V2,069500,2024-08-23,2024-08-26,37025.0,2025-04-09,2025-04-10,32740.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-11.57,0.12,-16.7,150,11.69,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2025-04-10,32740.0
V3,069500,2024-08-23,2024-08-26,37025.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,160.95,311.76,-16.7,466,150.81,11,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,96615.0
V2,069500,2024-08-30,2024-09-02,36300.0,2026-02-28,2026-03-03,92035.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,153.54,163.69,-15.04,360,10.15,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2026-03-03,92035.0
V3,069500,2024-08-30,2024-09-02,36300.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,166.16,319.99,-15.04,461,153.83,12,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,96615.0
V2,069500,2025-05-30,2025-06-02,36040.0,2026-02-28,2026-03-03,92035.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,155.37,165.59,-0.25,182,10.22,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2026-03-03,92035.0
V3,069500,2025-05-30,2025-06-02,36040.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,168.08,323.02,-0.25,283,154.94,13,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,96615.0
V2,069500,2025-06-13,2025-06-16,39000.0,2026-02-28,2026-03-03,92035.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,135.99,145.44,-0.65,174,9.45,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2026-03-03,92035.0
V3,069500,2025-06-13,2025-06-16,39000.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,147.73,290.91,-0.65,275,143.18,14,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,96615.0
V2,069500,2025-06-20,2025-06-23,40260.0,2026-02-28,2026-03-03,92035.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,128.6,137.75,-0.93,169,9.15,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2026-03-03,92035.0
V3,069500,2025-06-20,2025-06-23,40260.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,139.98,278.68,-0.93,270,138.7,15,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,96615.0
V2,069500,2025-06-27,2025-06-30,41690.0,2026-02-28,2026-03-03,92035.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,120.76,129.6,-1.4,164,8.84,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2026-03-03,92035.0
V3,069500,2025-06-27,2025-06-30,41690.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,131.75,265.69,-1.4,265,133.94,16,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,96615.0
