feature_a,feature_b,spearman_corr
close_above_prior_26w_high,high_above_prior_26w_high,1.0
wma26_slope_1w,weekly_return_26w,0.999249530956848
close_vs_wma200_pct,high_vs_wma200_pct,0.9915461624026697
post_breakout_min_close_vs_level_pct_26w,post_breakout_min_low_vs_level_pct_26w,0.9596491228070175
close_vs_wma200_pct,wma200_slope_1w,0.9559510567296997
wma200_slope_1w,high_vs_wma200_pct,0.9506117908787541
weekly_low_slope_13w,weekly_return_13w,0.9461044149439105
wma12_slope_1w,weekly_return_13w,0.9455909943714822
distance_to_prior_26w_high_pct,distance_to_prior_52w_high_pct,0.9407129455909944
close_vs_wma52_pct,wma52_slope_1w,0.9363977485928705
close_vs_wma26_pct,range_position_26w,0.9363977485928705
close_vs_wma200_pct,wma52_vs_wma200_pct,0.9305895439377085
weekly_down_week_ratio_8w,weekly_positive_ratio_8w,-0.9294182694046814
weekly_low_slope_8w,weekly_return_8w,0.923639774859287
wma52_vs_wma200_pct,wma200_slope_1w,0.917686318131257
close_vs_wma52_pct,range_position_52w,0.9165103189493433
wma52_vs_wma200_pct,high_vs_wma200_pct,0.9127919911012236
weeks_since_26w_close_breakout,higher_low_after_breakout_count,0.9104889242347722
wma12_slope_1w,weekly_low_slope_8w,0.9075046904315197
close_vs_wma12_pct,weekly_return_8w,0.9063789868667917
close_vs_wma12_pct,weekly_low_slope_8w,0.9007504690431519
close_vs_wma200_pct,weeks_above_wma200_recent_12w,0.9005841216427201
high_vs_wma200_pct,weeks_above_wma200_recent_12w,0.8994226770700572
wma12_slope_1w,weekly_return_8w,0.8969981238273921
close_vs_wma52_pct,weekly_return_26w,0.8968105065666041
close_vs_wma52_pct,wma26_slope_1w,0.8964352720450282
wma12_slope_1w,weekly_low_slope_13w,0.8906609137806135
post_breakout_min_close_vs_level_pct_26w,weekly_return_13w,0.8894736842105263
distance_to_prior_13w_high_pct,distance_to_prior_26w_high_pct,0.8893058161350844
close_vs_wma26_pct,close_vs_wma52_pct,0.8881801125703565
close_vs_wma12_pct,wma12_slope_1w,0.8833020637898686
close_vs_wma12_pct,post_breakout_min_close_vs_level_pct_26w,0.8824561403508772
close_vs_wma26_pct,weekly_return_13w,0.8804878048780488
close_vs_wma26_pct,wma26_slope_1w,0.8776735459662289
close_vs_wma26_pct,post_breakout_min_close_vs_level_pct_26w,0.8771929824561403
close_vs_wma26_pct,weekly_return_26w,0.8761726078799249
close_vs_wma26_pct,range_position_52w,0.8724202626641651
post_breakout_min_close_vs_level_pct_26w,weekly_return_8w,0.8719298245614036
close_vs_wma26_pct,post_breakout_min_low_vs_level_pct_26w,0.8719298245614036
close_vs_wma26_pct,wma12_slope_1w,0.8671669793621013
weekly_low_slope_8w,weekly_return_13w,0.8652908067542214
range_position_26w,range_position_52w,0.8630393996247655
weekly_return_8w,weekly_return_13w,0.8594746716697936
wma12_slope_1w,post_breakout_min_close_vs_level_pct_26w,0.8578947368421053
wma52_vs_wma200_pct,weeks_above_wma200_recent_12w,0.857146094625132
close_vs_wma12_pct,close_vs_wma26_pct,0.8568480300187618
post_breakout_min_low_vs_level_pct_26w,weekly_return_13w,0.8526315789473684
post_breakout_min_close_vs_level_pct_26w,distance_from_13w_low_pct,0.8526315789473684
weeks_since_26w_close_breakout,weekly_low_slope_13w,-0.850472317932395
