date,strategy,equity,position_state,exposure_flag
2014-01-09,Julia,1.0,FLAT,0
2014-01-10,Julia,1.0,FLAT,0
2014-01-13,Julia,1.0,FLAT,0
2014-01-14,Julia,1.0,FLAT,0
2014-01-15,Julia,1.0,FLAT,0
2014-01-16,Julia,1.0,FLAT,0
2014-01-17,Julia,1.0,FLAT,0
2014-01-20,Julia,1.0,FLAT,0
2014-01-21,Julia,1.0,FLAT,0
2014-01-22,Julia,1.0,FLAT,0
2014-01-23,Julia,1.0,FLAT,0
2014-01-24,Julia,1.0,FLAT,0
2014-01-27,Julia,1.0,FLAT,0
2014-01-28,Julia,1.0,FLAT,0
2014-01-29,Julia,1.0,FLAT,0
2014-02-03,Julia,1.0,FLAT,0
2014-02-04,Julia,1.0,FLAT,0
2014-02-05,Julia,1.0,FLAT,0
2014-02-06,Julia,1.0,FLAT,0
2014-02-07,Julia,1.0,FLAT,0
2014-02-10,Julia,1.0,FLAT,0
2014-02-11,Julia,1.0,FLAT,0
2014-02-12,Julia,1.0,FLAT,0
2014-02-13,Julia,1.0,FLAT,0
2014-02-14,Julia,1.0,FLAT,0
2014-02-17,Julia,1.0,FLAT,0
2014-02-18,Julia,1.0,FLAT,0
2014-02-19,Julia,1.0,FLAT,0
2014-02-20,Julia,1.0,FLAT,0
2014-02-21,Julia,1.0,FLAT,0
2014-02-24,Julia,1.0,FLAT,0
2014-02-25,Julia,1.0,FLAT,0
2014-02-26,Julia,1.0,FLAT,0
2014-02-27,Julia,1.0,FLAT,0
2014-02-28,Julia,1.0,FLAT,0
2014-03-03,Julia,1.0,FLAT,0
2014-03-04,Julia,1.0,FLAT,0
2014-03-05,Julia,1.0,FLAT,0
2014-03-06,Julia,1.0,FLAT,0
2014-03-07,Julia,1.0,FLAT,0
2014-03-10,Julia,1.0,FLAT,0
2014-03-11,Julia,1.0,FLAT,0
2014-03-12,Julia,1.0,FLAT,0
2014-03-13,Julia,1.0,FLAT,0
2014-03-14,Julia,1.0,FLAT,0
2014-03-17,Julia,1.0,FLAT,0
2014-03-18,Julia,1.0,FLAT,0
2014-03-19,Julia,1.0,FLAT,0
2014-03-20,Julia,1.0,FLAT,0
2014-03-21,Julia,1.0,FLAT,0
2014-03-24,Julia,1.0,FLAT,0
2014-03-25,Julia,1.0,FLAT,0
2014-03-26,Julia,1.0,FLAT,0
2014-03-27,Julia,1.0,FLAT,0
2014-03-28,Julia,1.0,FLAT,0
2014-03-31,Julia,1.0,FLAT,0
2014-04-01,Julia,1.0,FLAT,0
2014-04-02,Julia,1.0,FLAT,0
2014-04-03,Julia,1.0,FLAT,0
2014-04-04,Julia,1.0,FLAT,0
2014-04-07,Julia,1.0,FLAT,0
2014-04-08,Julia,1.0,FLAT,0
2014-04-09,Julia,1.0,FLAT,0
2014-04-10,Julia,1.0,FLAT,0
2014-04-11,Julia,1.0,FLAT,0
2014-04-14,Julia,1.0,FLAT,0
2014-04-15,Julia,1.0,FLAT,0
2014-04-16,Julia,1.0,FLAT,0
2014-04-17,Julia,1.0,FLAT,0
2014-04-18,Julia,1.0,FLAT,0
2014-04-21,Julia,1.0,FLAT,0
2014-04-22,Julia,1.0,FLAT,0
2014-04-23,Julia,1.0,FLAT,0
2014-04-24,Julia,1.0,FLAT,0
2014-04-25,Julia,1.0,FLAT,0
2014-04-28,Julia,1.0,FLAT,0
2014-04-29,Julia,1.0,FLAT,0
2014-04-30,Julia,1.0,FLAT,0
2014-05-02,Julia,1.0,FLAT,0
2014-05-07,Julia,1.0,FLAT,0
2014-05-08,Julia,1.0,FLAT,0
2014-05-09,Julia,1.0,FLAT,0
2014-05-12,Julia,1.0,FLAT,0
2014-05-13,Julia,1.0,FLAT,0
2014-05-14,Julia,1.0,FLAT,0
2014-05-15,Julia,1.0,FLAT,0
2014-05-16,Julia,1.0,FLAT,0
2014-05-19,Julia,1.0,FLAT,0
2014-05-20,Julia,1.0,FLAT,0
2014-05-21,Julia,1.0,FLAT,0
2014-05-22,Julia,1.0,FLAT,0
2014-05-23,Julia,1.0,FLAT,0
2014-05-26,Julia,1.0,FLAT,0
2014-05-27,Julia,1.0,FLAT,0
2014-05-28,Julia,1.0,FLAT,0
2014-05-29,Julia,1.0,FLAT,0
2014-05-30,Julia,1.0,FLAT,0
2014-06-02,Julia,1.0,FLAT,0
2014-06-03,Julia,1.0,FLAT,0
2014-06-05,Julia,1.0,FLAT,0
2014-06-09,Julia,1.0,FLAT,0
2014-06-10,Julia,1.0,FLAT,0
2014-06-11,Julia,1.0,FLAT,0
2014-06-12,Julia,1.0,FLAT,0
2014-06-13,Julia,1.0,FLAT,0
2014-06-16,Julia,1.0,FLAT,0
2014-06-17,Julia,1.0,FLAT,0
2014-06-18,Julia,1.0,FLAT,0
2014-06-19,Julia,1.0,FLAT,0
2014-06-20,Julia,1.0,FLAT,0
2014-06-23,Julia,1.0,FLAT,0
2014-06-24,Julia,1.0,FLAT,0
2014-06-25,Julia,1.0,FLAT,0
2014-06-26,Julia,1.0,FLAT,0
2014-06-27,Julia,1.0,FLAT,0
2014-06-30,Julia,1.0,FLAT,0
2014-07-01,Julia,1.0,FLAT,0
2014-07-02,Julia,1.0,FLAT,0
2014-07-03,Julia,1.0,FLAT,0
2014-07-04,Julia,1.0,FLAT,0
2014-07-07,Julia,1.0,FLAT,0
2014-07-08,Julia,1.0,FLAT,0
2014-07-09,Julia,1.0,FLAT,0
2014-07-10,Julia,1.0,FLAT,0
2014-07-11,Julia,1.0,FLAT,0
2014-07-14,Julia,1.0,FLAT,0
2014-07-15,Julia,1.0,FLAT,0
2014-07-16,Julia,1.0,FLAT,0
2014-07-17,Julia,1.0,FLAT,0
2014-07-18,Julia,1.0,FLAT,0
2014-07-21,Julia,1.0,FLAT,0
2014-07-22,Julia,1.0,FLAT,0
2014-07-23,Julia,1.0,FLAT,0
2014-07-24,Julia,1.0,FLAT,0
2014-07-25,Julia,1.0,FLAT,0
2014-07-28,Julia,1.0,FLAT,0
2014-07-29,Julia,1.0,FLAT,0
2014-07-30,Julia,1.0,FLAT,0
2014-07-31,Julia,1.0,FLAT,0
2014-08-01,Julia,1.0,FLAT,0
2014-08-04,Julia,1.0,FLAT,0
2014-08-05,Julia,1.0,FLAT,0
2014-08-06,Julia,1.0,FLAT,0
2014-08-07,Julia,1.0,FLAT,0
2014-08-08,Julia,1.0,FLAT,0
2014-08-11,Julia,1.0,FLAT,0
2014-08-12,Julia,1.0,FLAT,0
2014-08-13,Julia,1.0,FLAT,0
2014-08-14,Julia,1.0,FLAT,0
2014-08-18,Julia,1.0,FLAT,0
2014-08-19,Julia,1.0,FLAT,0
2014-08-20,Julia,1.0,FLAT,0
2014-08-21,Julia,1.0,FLAT,0
2014-08-22,Julia,1.0,FLAT,0
2014-08-25,Julia,1.0,FLAT,0
2014-08-26,Julia,1.0,FLAT,0
2014-08-27,Julia,1.0,FLAT,0
2014-08-28,Julia,1.0,FLAT,0
2014-08-29,Julia,1.0,FLAT,0
2014-09-01,Julia,1.0,FLAT,0
2014-09-02,Julia,1.0,FLAT,0
2014-09-03,Julia,1.0,FLAT,0
2014-09-04,Julia,1.0,FLAT,0
2014-09-05,Julia,1.0,FLAT,0
2014-09-11,Julia,1.0,FLAT,0
2014-09-12,Julia,1.0,FLAT,0
2014-09-15,Julia,1.0,FLAT,0
2014-09-16,Julia,1.0,FLAT,0
2014-09-17,Julia,1.0,FLAT,0
2014-09-18,Julia,1.0,FLAT,0
2014-09-19,Julia,1.0,FLAT,0
2014-09-22,Julia,1.0,FLAT,0
2014-09-23,Julia,1.0,FLAT,0
2014-09-24,Julia,1.0,FLAT,0
2014-09-25,Julia,1.0,FLAT,0
2014-09-26,Julia,1.0,FLAT,0
2014-09-29,Julia,1.0,FLAT,0
2014-09-30,Julia,1.0,FLAT,0
2014-10-01,Julia,1.0,FLAT,0
2014-10-02,Julia,1.0,FLAT,0
2014-10-06,Julia,1.0,FLAT,0
2014-10-07,Julia,1.0,FLAT,0
2014-10-08,Julia,1.0,FLAT,0
2014-10-10,Julia,1.0,FLAT,0
2014-10-13,Julia,1.0,FLAT,0
2014-10-14,Julia,1.0,FLAT,0
2014-10-15,Julia,1.0,FLAT,0
2014-10-16,Julia,1.0,FLAT,0
2014-10-17,Julia,1.0,FLAT,0
2014-10-20,Julia,1.0,FLAT,0
2014-10-21,Julia,1.0,FLAT,0
2014-10-22,Julia,1.0,FLAT,0
2014-10-23,Julia,1.0,FLAT,0
2014-10-24,Julia,1.0,FLAT,0
2014-10-27,Julia,1.0,FLAT,0
2014-10-28,Julia,1.0,FLAT,0
2014-10-29,Julia,1.0,FLAT,0
2014-10-30,Julia,1.0,FLAT,0
2014-10-31,Julia,1.0,FLAT,0
2014-11-03,Julia,1.0,FLAT,0
2014-11-04,Julia,1.0,FLAT,0
2014-11-05,Julia,1.0,FLAT,0
2014-11-06,Julia,1.0,FLAT,0
2014-11-07,Julia,1.0,FLAT,0
2014-11-10,Julia,1.0,FLAT,0
2014-11-11,Julia,1.0,FLAT,0
2014-11-12,Julia,1.0,FLAT,0
2014-11-13,Julia,1.0,FLAT,0
2014-11-14,Julia,1.0,FLAT,0
2014-11-17,Julia,1.0,FLAT,0
2014-11-18,Julia,1.0,FLAT,0
2014-11-19,Julia,1.0,FLAT,0
2014-11-20,Julia,1.0,FLAT,0
2014-11-21,Julia,1.0,FLAT,0
2014-11-24,Julia,1.0,FLAT,0
2014-11-25,Julia,1.0,FLAT,0
2014-11-26,Julia,1.0,FLAT,0
2014-11-27,Julia,1.0,FLAT,0
2014-11-28,Julia,1.0,FLAT,0
2014-12-01,Julia,1.0,FLAT,0
2014-12-02,Julia,1.0,FLAT,0
2014-12-03,Julia,1.0,FLAT,0
2014-12-04,Julia,1.0,FLAT,0
2014-12-05,Julia,1.0,FLAT,0
2014-12-08,Julia,1.0,FLAT,0
2014-12-09,Julia,1.0,FLAT,0
2014-12-10,Julia,1.0,FLAT,0
2014-12-11,Julia,1.0,FLAT,0
2014-12-12,Julia,1.0,FLAT,0
2014-12-15,Julia,1.0,FLAT,0
2014-12-16,Julia,1.0,FLAT,0
2014-12-17,Julia,1.0,FLAT,0
2014-12-18,Julia,1.0,FLAT,0
2014-12-19,Julia,1.0,FLAT,0
2014-12-22,Julia,1.0,FLAT,0
2014-12-23,Julia,1.0,FLAT,0
2014-12-24,Julia,1.0,FLAT,0
2014-12-26,Julia,1.0,FLAT,0
2014-12-29,Julia,1.0,FLAT,0
2014-12-30,Julia,1.0,FLAT,0
2015-01-02,Julia,1.0,FLAT,0
2015-01-05,Julia,1.0,FLAT,0
2015-01-06,Julia,1.0,FLAT,0
2015-01-07,Julia,1.0,FLAT,0
2015-01-08,Julia,1.0,FLAT,0
2015-01-09,Julia,1.0,FLAT,0
2015-01-12,Julia,1.0,FLAT,0
2015-01-13,Julia,1.0,FLAT,0
2015-01-14,Julia,1.0,FLAT,0
2015-01-15,Julia,1.0,FLAT,0
2015-01-16,Julia,1.0,FLAT,0
2015-01-19,Julia,1.0,FLAT,0
2015-01-20,Julia,1.0,FLAT,0
2015-01-21,Julia,1.0,FLAT,0
2015-01-22,Julia,1.0,FLAT,0
2015-01-23,Julia,1.0,FLAT,0
2015-01-26,Julia,1.0,FLAT,0
2015-01-27,Julia,1.0,FLAT,0
2015-01-28,Julia,1.0,FLAT,0
2015-01-29,Julia,1.0,FLAT,0
2015-01-30,Julia,1.0,FLAT,0
2015-02-02,Julia,1.0,FLAT,0
2015-02-03,Julia,1.0,FLAT,0
2015-02-04,Julia,1.0,FLAT,0
2015-02-05,Julia,1.0,FLAT,0
2015-02-06,Julia,1.0,FLAT,0
2015-02-09,Julia,1.0,FLAT,0
2015-02-10,Julia,1.0,FLAT,0
2015-02-11,Julia,1.0,FLAT,0
2015-02-12,Julia,1.0,FLAT,0
2015-02-13,Julia,1.0,FLAT,0
2015-02-16,Julia,1.0,FLAT,0
2015-02-17,Julia,1.0,FLAT,0
2015-02-23,Julia,1.0,FLAT,0
2015-02-24,Julia,1.0,FLAT,0
2015-02-25,Julia,1.0,FLAT,0
2015-02-26,Julia,1.0,FLAT,0
2015-02-27,Julia,1.0,FLAT,0
2015-03-02,Julia,1.0,FLAT,0
2015-03-03,Julia,1.0,FLAT,0
2015-03-04,Julia,1.0,FLAT,0
2015-03-05,Julia,1.0,FLAT,0
2015-03-06,Julia,1.0,FLAT,0
2015-03-09,Julia,1.0,FLAT,0
2015-03-10,Julia,1.0,FLAT,0
2015-03-11,Julia,1.0,FLAT,0
2015-03-12,Julia,1.0,FLAT,0
2015-03-13,Julia,1.0,FLAT,0
2015-03-16,Julia,1.0,FLAT,0
2015-03-17,Julia,1.0,FLAT,0
2015-03-18,Julia,1.0,FLAT,0
2015-03-19,Julia,1.0,FLAT,0
2015-03-20,Julia,1.0,FLAT,0
2015-03-23,Julia,1.0,FLAT,0
2015-03-24,Julia,1.0,FLAT,0
2015-03-25,Julia,1.0,FLAT,0
2015-03-26,Julia,1.0,FLAT,0
2015-03-27,Julia,1.0,FLAT,0
2015-03-30,Julia,1.0,FLAT,0
2015-03-31,Julia,1.0,FLAT,0
2015-04-01,Julia,1.0,FLAT,0
2015-04-02,Julia,1.0,FLAT,0
2015-04-03,Julia,1.0,FLAT,0
2015-04-06,Julia,1.0,FLAT,0
2015-04-07,Julia,1.0,FLAT,0
2015-04-08,Julia,1.0,FLAT,0
2015-04-09,Julia,1.0,FLAT,0
2015-04-10,Julia,1.0,FLAT,0
2015-04-13,Julia,1.0,FLAT,0
2015-04-14,Julia,1.0,FLAT,0
2015-04-15,Julia,1.0,FLAT,0
2015-04-16,Julia,1.0,FLAT,0
2015-04-17,Julia,1.0,FLAT,0
2015-04-20,Julia,1.0,FLAT,0
2015-04-21,Julia,1.0,FLAT,0
2015-04-22,Julia,1.0,FLAT,0
2015-04-23,Julia,1.0,FLAT,0
2015-04-24,Julia,1.0,FLAT,0
2015-04-27,Julia,1.0,FLAT,0
2015-04-28,Julia,1.0,FLAT,0
2015-04-29,Julia,1.0,FLAT,0
2015-04-30,Julia,1.0,FLAT,0
2015-05-04,Julia,1.0,FLAT,0
2015-05-06,Julia,1.0,FLAT,0
2015-05-07,Julia,1.0,FLAT,0
2015-05-08,Julia,1.0,FLAT,0
2015-05-11,Julia,1.0,FLAT,0
2015-05-12,Julia,1.0,FLAT,0
2015-05-13,Julia,1.0,FLAT,0
2015-05-14,Julia,1.0,FLAT,0
2015-05-15,Julia,1.0,FLAT,0
2015-05-18,Julia,1.0,FLAT,0
2015-05-19,Julia,1.0,FLAT,0
2015-05-20,Julia,1.0,FLAT,0
2015-05-21,Julia,1.0,FLAT,0
2015-05-22,Julia,1.0,FLAT,0
2015-05-26,Julia,1.0,FLAT,0
2015-05-27,Julia,1.0,FLAT,0
2015-05-28,Julia,1.0,FLAT,0
2015-05-29,Julia,1.0,FLAT,0
2015-06-01,Julia,1.0,FLAT,0
2015-06-02,Julia,1.0,FLAT,0
2015-06-03,Julia,1.0,FLAT,0
2015-06-04,Julia,1.0,FLAT,0
2015-06-05,Julia,1.0,FLAT,0
2015-06-08,Julia,1.0,FLAT,0
2015-06-09,Julia,1.0,FLAT,0
2015-06-10,Julia,1.0,FLAT,0
2015-06-11,Julia,1.0,FLAT,0
2015-06-12,Julia,1.0,FLAT,0
2015-06-15,Julia,1.0,FLAT,0
2015-06-16,Julia,1.0,FLAT,0
2015-06-17,Julia,1.0,FLAT,0
2015-06-18,Julia,1.0,FLAT,0
2015-06-19,Julia,1.0,FLAT,0
2015-06-22,Julia,1.0,FLAT,0
2015-06-23,Julia,1.0,FLAT,0
2015-06-24,Julia,1.0,FLAT,0
2015-06-25,Julia,1.0,FLAT,0
2015-06-26,Julia,1.0,FLAT,0
2015-06-29,Julia,1.0,FLAT,0
2015-06-30,Julia,1.0,FLAT,0
2015-07-01,Julia,1.0,FLAT,0
2015-07-02,Julia,1.0,FLAT,0
2015-07-03,Julia,1.0,FLAT,0
2015-07-06,Julia,1.0,FLAT,0
2015-07-07,Julia,1.0,FLAT,0
2015-07-08,Julia,1.0,FLAT,0
2015-07-09,Julia,1.0,FLAT,0
2015-07-10,Julia,1.0,FLAT,0
2015-07-13,Julia,1.0,FLAT,0
2015-07-14,Julia,1.0,FLAT,0
2015-07-15,Julia,1.0,FLAT,0
2015-07-16,Julia,1.0,FLAT,0
2015-07-17,Julia,1.0,FLAT,0
2015-07-20,Julia,1.0,FLAT,0
2015-07-21,Julia,1.0,FLAT,0
2015-07-22,Julia,1.0,FLAT,0
2015-07-23,Julia,1.0,FLAT,0
2015-07-24,Julia,1.0,FLAT,0
2015-07-27,Julia,1.0,FLAT,0
2015-07-28,Julia,1.0,FLAT,0
2015-07-29,Julia,1.0,FLAT,0
2015-07-30,Julia,1.0,FLAT,0
2015-07-31,Julia,1.0,FLAT,0
2015-08-03,Julia,1.0,FLAT,0
2015-08-04,Julia,1.0,FLAT,0
2015-08-05,Julia,1.0,FLAT,0
2015-08-06,Julia,1.0,FLAT,0
2015-08-07,Julia,1.0,FLAT,0
2015-08-10,Julia,1.0,FLAT,0
2015-08-11,Julia,1.0,FLAT,0
2015-08-12,Julia,1.0,FLAT,0
2015-08-13,Julia,1.0,FLAT,0
2015-08-17,Julia,1.0,FLAT,0
2015-08-18,Julia,1.0,FLAT,0
2015-08-19,Julia,1.0,FLAT,0
2015-08-20,Julia,1.0,FLAT,0
2015-08-21,Julia,1.0,FLAT,0
2015-08-24,Julia,1.0,FLAT,0
2015-08-25,Julia,1.0,FLAT,0
2015-08-26,Julia,1.0,FLAT,0
2015-08-27,Julia,1.0,FLAT,0
2015-08-28,Julia,1.0,FLAT,0
2015-08-31,Julia,1.0,FLAT,0
2015-09-01,Julia,1.0,FLAT,0
2015-09-02,Julia,1.0,FLAT,0
2015-09-03,Julia,1.0,FLAT,0
2015-09-04,Julia,1.0,FLAT,0
2015-09-07,Julia,1.0,FLAT,0
2015-09-08,Julia,1.0,FLAT,0
2015-09-09,Julia,1.0,FLAT,0
2015-09-10,Julia,1.0,FLAT,0
2015-09-11,Julia,1.0,FLAT,0
2015-09-14,Julia,1.0,FLAT,0
2015-09-15,Julia,1.0,FLAT,0
2015-09-16,Julia,1.0,FLAT,0
2015-09-17,Julia,1.0,FLAT,0
2015-09-18,Julia,1.0,FLAT,0
2015-09-21,Julia,1.0,FLAT,0
2015-09-22,Julia,1.0,FLAT,0
2015-09-23,Julia,1.0,FLAT,0
2015-09-24,Julia,1.0,FLAT,0
2015-09-25,Julia,1.0,FLAT,0
2015-09-30,Julia,1.0,FLAT,0
2015-10-01,Julia,1.0,FLAT,0
2015-10-02,Julia,1.0,FLAT,0
2015-10-05,Julia,1.0,FLAT,0
2015-10-06,Julia,1.0,FLAT,0
2015-10-07,Julia,1.0,FLAT,0
2015-10-08,Julia,1.0,FLAT,0
2015-10-12,Julia,1.0,FLAT,0
2015-10-13,Julia,1.0,FLAT,0
2015-10-14,Julia,1.0,FLAT,0
2015-10-15,Julia,1.0,FLAT,0
2015-10-16,Julia,1.0,FLAT,0
2015-10-19,Julia,1.0,FLAT,0
2015-10-20,Julia,1.0,FLAT,0
2015-10-21,Julia,1.0,FLAT,0
2015-10-22,Julia,1.0,FLAT,0
2015-10-23,Julia,1.0,FLAT,0
2015-10-26,Julia,1.0,FLAT,0
2015-10-27,Julia,1.0,FLAT,0
2015-10-28,Julia,1.0,FLAT,0
2015-10-29,Julia,1.0,FLAT,0
2015-10-30,Julia,1.0,FLAT,0
2015-11-02,Julia,1.0,FLAT,0
2015-11-03,Julia,1.0,FLAT,0
2015-11-04,Julia,1.0,FLAT,0
2015-11-05,Julia,1.0,FLAT,0
2015-11-06,Julia,1.0,FLAT,0
2015-11-09,Julia,1.0,FLAT,0
2015-11-10,Julia,1.0,FLAT,0
2015-11-11,Julia,1.0,FLAT,0
2015-11-12,Julia,1.0,FLAT,0
2015-11-13,Julia,1.0,FLAT,0
2015-11-16,Julia,1.0,FLAT,0
2015-11-17,Julia,1.0,FLAT,0
2015-11-18,Julia,1.0,FLAT,0
2015-11-19,Julia,1.0,FLAT,0
2015-11-20,Julia,1.0,FLAT,0
2015-11-23,Julia,1.0,FLAT,0
2015-11-24,Julia,1.0,FLAT,0
2015-11-25,Julia,1.0,FLAT,0
2015-11-26,Julia,1.0,FLAT,0
2015-11-27,Julia,1.0,FLAT,0
2015-11-30,Julia,1.0,FLAT,0
2015-12-01,Julia,1.0,FLAT,0
2015-12-02,Julia,1.0,FLAT,0
2015-12-03,Julia,1.0,FLAT,0
2015-12-04,Julia,1.0,FLAT,0
2015-12-07,Julia,1.0,FLAT,0
2015-12-08,Julia,1.0,FLAT,0
2015-12-09,Julia,1.0,FLAT,0
2015-12-10,Julia,1.0,FLAT,0
2015-12-11,Julia,1.0,FLAT,0
2015-12-14,Julia,1.0,FLAT,0
2015-12-15,Julia,1.0,FLAT,0
2015-12-16,Julia,1.0,FLAT,0
2015-12-17,Julia,1.0,FLAT,0
2015-12-18,Julia,1.0,FLAT,0
2015-12-21,Julia,1.0,FLAT,0
2015-12-22,Julia,1.0,FLAT,0
2015-12-23,Julia,1.0,FLAT,0
2015-12-24,Julia,1.0,FLAT,0
2015-12-28,Julia,1.0,FLAT,0
2015-12-29,Julia,1.0,FLAT,0
2015-12-30,Julia,1.0,FLAT,0
2016-01-04,Julia,1.0,FLAT,0
2016-01-05,Julia,1.0,FLAT,0
2016-01-06,Julia,1.0,FLAT,0
2016-01-07,Julia,1.0,FLAT,0
2016-01-08,Julia,1.0,FLAT,0
2016-01-11,Julia,1.0,FLAT,0
2016-01-12,Julia,1.0,FLAT,0
2016-01-13,Julia,1.0,FLAT,0
2016-01-14,Julia,1.0,FLAT,0
2016-01-15,Julia,1.0,FLAT,0
2016-01-18,Julia,1.0,FLAT,0
2016-01-19,Julia,1.0,FLAT,0
2016-01-20,Julia,1.0,FLAT,0
2016-01-21,Julia,1.0,FLAT,0
2016-01-22,Julia,1.0,FLAT,0
2016-01-25,Julia,1.0,FLAT,0
2016-01-26,Julia,1.0,FLAT,0
2016-01-27,Julia,1.0,FLAT,0
2016-01-28,Julia,1.0,FLAT,0
2016-01-29,Julia,1.0,FLAT,0
2016-02-01,Julia,1.0,FLAT,0
2016-02-02,Julia,1.0,FLAT,0
2016-02-03,Julia,1.0,FLAT,0
2016-02-04,Julia,1.0,FLAT,0
2016-02-05,Julia,1.0,FLAT,0
2016-02-11,Julia,1.0,FLAT,0
2016-02-12,Julia,1.0,FLAT,0
2016-02-15,Julia,1.0,FLAT,0
2016-02-16,Julia,1.0,FLAT,0
2016-02-17,Julia,1.0,FLAT,0
2016-02-18,Julia,1.0,FLAT,0
2016-02-19,Julia,1.0,FLAT,0
2016-02-22,Julia,1.0,FLAT,0
2016-02-23,Julia,1.0,FLAT,0
2016-02-24,Julia,1.0,FLAT,0
2016-02-25,Julia,1.0,FLAT,0
2016-02-26,Julia,1.0,FLAT,0
2016-02-29,Julia,1.0,FLAT,0
2016-03-02,Julia,1.0,FLAT,0
2016-03-03,Julia,1.0,FLAT,0
2016-03-04,Julia,1.0,FLAT,0
2016-03-07,Julia,1.0,FLAT,0
2016-03-08,Julia,1.0,FLAT,0
2016-03-09,Julia,1.0,FLAT,0
2016-03-10,Julia,1.0,FLAT,0
2016-03-11,Julia,1.0,FLAT,0
2016-03-14,Julia,1.0,FLAT,0
2016-03-15,Julia,1.0,FLAT,0
2016-03-16,Julia,1.0,FLAT,0
2016-03-17,Julia,1.0,FLAT,0
2016-03-18,Julia,1.0,FLAT,0
2016-03-21,Julia,1.0,FLAT,0
2016-03-22,Julia,1.0,FLAT,0
2016-03-23,Julia,1.0,FLAT,0
2016-03-24,Julia,1.0,FLAT,0
2016-03-25,Julia,1.0,FLAT,0
2016-03-28,Julia,1.0,FLAT,0
2016-03-29,Julia,1.0,FLAT,0
2016-03-30,Julia,1.0,FLAT,0
2016-03-31,Julia,1.0,FLAT,0
2016-04-01,Julia,1.0,FLAT,0
2016-04-04,Julia,1.0,FLAT,0
2016-04-05,Julia,1.0,FLAT,0
2016-04-06,Julia,1.0,FLAT,0
2016-04-07,Julia,1.0,FLAT,0
2016-04-08,Julia,1.0,FLAT,0
2016-04-11,Julia,1.0,FLAT,0
2016-04-12,Julia,1.0,FLAT,0
2016-04-14,Julia,1.0,FLAT,0
2016-04-15,Julia,1.0,FLAT,0
2016-04-18,Julia,1.0,FLAT,0
2016-04-19,Julia,1.0,FLAT,0
2016-04-20,Julia,1.0,FLAT,0
2016-04-21,Julia,1.0,FLAT,0
2016-04-22,Julia,1.0,FLAT,0
2016-04-25,Julia,1.0,FLAT,0
2016-04-26,Julia,1.0,FLAT,0
2016-04-27,Julia,1.0,FLAT,0
2016-04-28,Julia,1.0,FLAT,0
2016-04-29,Julia,1.0,FLAT,0
2016-05-02,Julia,1.0,FLAT,0
2016-05-03,Julia,1.0,FLAT,0
2016-05-04,Julia,1.0,FLAT,0
2016-05-09,Julia,1.0,FLAT,0
2016-05-10,Julia,1.0,FLAT,0
2016-05-11,Julia,1.0,FLAT,0
2016-05-12,Julia,1.0,FLAT,0
2016-05-13,Julia,1.0,FLAT,0
2016-05-16,Julia,1.0,FLAT,0
2016-05-17,Julia,1.0,FLAT,0
2016-05-18,Julia,1.0,FLAT,0
2016-05-19,Julia,1.0,FLAT,0
2016-05-20,Julia,1.0,FLAT,0
2016-05-23,Julia,1.0,FLAT,0
2016-05-24,Julia,1.0,FLAT,0
2016-05-25,Julia,1.0,FLAT,0
2016-05-26,Julia,1.0,FLAT,0
2016-05-27,Julia,1.0,FLAT,0
2016-05-30,Julia,1.0,FLAT,0
2016-05-31,Julia,1.0,FLAT,0
2016-06-01,Julia,1.0,FLAT,0
2016-06-02,Julia,1.0,FLAT,0
2016-06-03,Julia,1.0,FLAT,0
2016-06-07,Julia,1.0,FLAT,0
2016-06-08,Julia,1.0,FLAT,0
2016-06-09,Julia,1.0,FLAT,0
2016-06-10,Julia,1.0,FLAT,0
2016-06-13,Julia,1.0,FLAT,0
2016-06-14,Julia,1.0,FLAT,0
2016-06-15,Julia,1.0,FLAT,0
2016-06-16,Julia,1.0,FLAT,0
2016-06-17,Julia,1.0,FLAT,0
2016-06-20,Julia,1.0,FLAT,0
2016-06-21,Julia,1.0,FLAT,0
2016-06-22,Julia,1.0,FLAT,0
2016-06-23,Julia,1.0,FLAT,0
2016-06-24,Julia,1.0,FLAT,0
2016-06-27,Julia,1.0,FLAT,0
2016-06-28,Julia,1.0,FLAT,0
2016-06-29,Julia,1.0,FLAT,0
2016-06-30,Julia,1.0,FLAT,0
2016-07-01,Julia,1.0,FLAT,0
2016-07-04,Julia,1.0,FLAT,0
2016-07-05,Julia,1.0,FLAT,0
2016-07-06,Julia,1.0,FLAT,0
2016-07-07,Julia,1.0,FLAT,0
2016-07-08,Julia,1.0,FLAT,0
2016-07-11,Julia,1.0,FLAT,0
2016-07-12,Julia,1.0,FLAT,0
2016-07-13,Julia,1.0,FLAT,0
2016-07-14,Julia,1.0,FLAT,0
2016-07-15,Julia,1.0,FLAT,0
2016-07-18,Julia,1.0,FLAT,0
2016-07-19,Julia,1.0,FLAT,0
2016-07-20,Julia,1.0,FLAT,0
2016-07-21,Julia,1.0,FLAT,0
2016-07-22,Julia,1.0,FLAT,0
2016-07-25,Julia,1.0,FLAT,0
2016-07-26,Julia,1.0,FLAT,0
2016-07-27,Julia,1.0,FLAT,0
2016-07-28,Julia,1.0,FLAT,0
2016-07-29,Julia,1.0,FLAT,0
2016-08-01,Julia,1.0,FLAT,0
2016-08-02,Julia,1.0,FLAT,0
2016-08-03,Julia,1.0,FLAT,0
2016-08-04,Julia,1.0,FLAT,0
2016-08-05,Julia,1.0,FLAT,0
