date,strategy_id,valuation_basis_date,cash,pending_sale_proceeds,invested_market_value,equity,drawdown,exposure,cash_ratio,open_positions,valuation_is_execution_support_only
2021-01-04,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-04,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2021-01-05,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-05,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2021-01-06,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-06,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2021-01-07,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-07,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2021-01-08,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-08,200000000.0,0.0,0.0,200000000.0,0.0,0.0,1.0,0,False
2021-01-11,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-11,61032134.73151776,0.0,136710890.0,197743024.73151776,-0.011284876342411154,0.6913563205863614,0.3086436794136385,28,False
2021-01-12,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-12,61032134.73151776,0.0,136472029.0,197504163.73151776,-0.012479181342411216,0.6909830477574977,0.3090169522425022,28,False
2021-01-13,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-13,61032134.73151776,0.0,138020260.0,199052394.73151776,-0.004738026342411161,0.6933865838999926,0.3066134161000073,28,False
2021-01-14,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-14,61032134.73151776,0.0,139565284.0,200597418.73151776,0.0,0.6957481550986258,0.30425184490137425,28,False
2021-01-15,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-15,61032134.73151776,0.0,137096109.0,198128243.73151776,-0.012309106545906112,0.6919564137749992,0.3080435862250008,28,False
2021-01-18,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-18,31349634.624257766,0.0,163913990.0,195263624.62425777,-0.026589545074848675,0.8394496943064368,0.16055030569356324,34,False
2021-01-19,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-19,31349634.624257766,0.0,168284419.0,199634053.62425777,-0.004802480078516691,0.8429644940073068,0.1570355059926932,34,False
2021-01-20,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-20,31349634.624257766,0.0,169704582.0,201054216.62425777,0.0,0.8440737272233099,0.15592627277669013,34,False
2021-01-21,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-21,31349634.624257766,0.0,172303690.0,203653324.62425777,0.0,0.8460637228383179,0.15393627716168212,34,False
2021-01-22,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-22,31349634.624257766,0.0,169980857.0,201330491.62425777,-0.01140581919929684,0.8442876964570004,0.1557123035429996,34,False
2021-01-25,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-25,21385877.974911265,0.0,183222983.0,204608860.97491127,0.0,0.8954792188714956,0.1045207811285043,36,False
2021-01-26,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-26,21385877.974911265,0.0,179822089.0,201207966.97491127,-0.016621440458617354,0.8937125686599782,0.10628743134002185,36,False
2021-01-27,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-27,21385877.974911265,0.0,179775519.0,201161396.97491127,-0.0168490454595841,0.8936879625190787,0.10631203748092134,36,False
2021-01-28,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-28,21385877.974911265,0.0,176403276.0,197789153.97491127,-0.033330457769550015,0.8918753756456029,0.10812462435439697,36,False
2021-01-29,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-01-29,21385877.974911265,4114366.44507,166534008.0,192034252.41998127,-0.06145681323387009,0.8672099164673398,0.13279008353266017,35,False
2021-02-01,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-02-01,5703222.032989417,8166647.672505,183884009.0,197753878.7054944,-0.033502861199434575,0.929862970090462,0.07013702990953803,37,False
2021-02-02,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-02-02,13869869.705494417,0.0,185917485.0,199787354.7054944,-0.023564503738711884,0.9305768389298716,0.06942316107012841,37,False
2021-02-03,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-02-03,13869869.705494417,0.0,187319678.0,201189547.7054944,-0.01671146231460685,0.9310606844954121,0.0689393155045879,37,False
2021-02-04,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-02-04,13869869.705494417,0.0,186709953.0,200579822.7054944,-0.01969141634540894,0.9308511219203781,0.06914887807962194,37,False
2021-02-05,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-02-05,13869869.705494417,0.0,189332731.0,203202600.7054944,-0.006872919690361301,0.9317436407932776,0.06825635920672245,37,False
2021-02-08,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-02-08,3911350.072582566,0.0,201895722.0,205807072.07258257,0.0,0.9809950647798772,0.01900493522012275,39,False
2021-02-09,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-02-09,3911350.072582566,0.0,199255519.0,203166869.07258257,-0.012828533895418714,0.9807480910128845,0.019251908987115478,39,False
2021-02-10,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-02-10,3911350.072582566,0.0,202996133.0,206907483.07258257,0.0,0.9810961400984687,0.01890385990153133,39,False
2021-02-15,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-02-15,3911350.072582566,0.0,203595330.0,207506680.07258257,0.0,0.981150726949058,0.018849273050941962,39,False
2021-02-16,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-02-16,3911350.072582566,0.0,204608929.0,208520279.07258257,0.0,0.9812423516313198,0.01875764836868019,39,False
2021-02-17,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-02-17,3911350.072582566,0.0,203064934.0,206976284.07258257,-0.007404531620939125,0.9811024239317634,0.01889757606823655,39,False
2021-02-18,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-02-18,3911350.072582566,0.0,202005299.0,205916649.07258257,-0.01248621962132379,0.981005178113578,0.018994821886421983,39,False
2021-02-19,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-02-19,3911350.072582566,0.0,202600928.0,206512278.07258257,-0.009629763632251098,0.9810599635571893,0.018940036442810677,39,False
2021-02-22,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-02-22,3911350.072582566,0.0,201314306.0,205225656.07258257,-0.015800012423986765,0.9809412227134056,0.019058777286594376,39,False
