strategy_id,execution_date,event_type,ticker,name,signal_date,signal_type,open_price,shares_before,shares_delta,shares_after,cash_before,cash_delta,cash_after,position_cost_basis,realized_pnl,realized_return,portfolio_equity_after_execution
JULIA_STRATEGY_V00,2022-02-07,ENTRY,088980,맥쿼리인프라,2022-02-04,FASTCORE_FRESH_ENTRY,13891.0,0,359,359,200000000.0,-4986869.0,195013131.0,13891.0,0.0,0.0,200000000.0
JULIA_STRATEGY_V00,2022-02-07,ENTRY,004370,농심,2022-02-04,FASTCORE_FRESH_ENTRY,336500.0,0,14,14,195013131.0,-4711000.0,190302131.0,336500.0,0.0,0.0,200000000.0
JULIA_STRATEGY_V00,2022-02-07,ENTRY,047810,한국항공우주,2022-02-04,FASTCORE_FRESH_ENTRY,36100.0,0,138,138,190302131.0,-4981800.0,185320331.0,36100.0,0.0,0.0,200000000.0
JULIA_STRATEGY_V00,2022-02-07,ENTRY,051370,인터플렉스,2022-02-04,FASTCORE_FRESH_ENTRY,16900.0,0,295,295,185320331.0,-4985500.0,180334831.0,16900.0,0.0,0.0,200000000.0
JULIA_STRATEGY_V00,2022-02-07,ENTRY,053610,프로텍,2022-02-04,FASTCORE_FRESH_ENTRY,34700.0,0,144,144,180334831.0,-4996800.0,175338031.0,34700.0,0.0,0.0,200000000.0
JULIA_STRATEGY_V00,2022-02-07,ENTRY,065680,우주일렉트로,2022-02-04,FASTCORE_FRESH_ENTRY,32300.0,0,154,154,175338031.0,-4974200.0,170363831.0,32300.0,0.0,0.0,200000000.0
JULIA_STRATEGY_V00,2022-02-07,ENTRY,090460,비에이치,2022-02-04,FASTCORE_FRESH_ENTRY,22900.0,0,218,218,170363831.0,-4992200.0,165371631.0,22900.0,0.0,0.0,200000000.0
JULIA_STRATEGY_V00,2022-02-14,ENTRY,051360,토비스,2022-02-11,FASTCORE_FRESH_ENTRY,7309.0,0,684,684,165371631.0,-4999356.0,160372275.0,7309.0,0.0,0.0,196978727.0
JULIA_STRATEGY_V00,2022-02-28,ENTRY,067990,도이치모터스,2022-02-25,FASTCORE_FRESH_ENTRY,8350.0,0,598,598,160372275.0,-4993300.0,155378975.0,8350.0,0.0,0.0,196748769.0
JULIA_STRATEGY_V00,2022-03-07,ENTRY,001130,대한제분,2022-03-04,FASTCORE_FRESH_ENTRY,17950.0,0,278,278,155378975.0,-4990100.0,150388875.0,17950.0,0.0,0.0,197462425.0
JULIA_STRATEGY_V00,2022-03-07,ENTRY,100130,동국S&C,2022-03-04,FASTCORE_FRESH_ENTRY,6280.0,0,796,796,150388875.0,-4998880.0,145389995.0,6280.0,0.0,0.0,197462425.0
JULIA_STRATEGY_V00,2022-03-07,ENTRY,000660,SK하이닉스,2022-03-04,FASTCORE_FRESH_ENTRY,119000.0,0,42,42,145389995.0,-4998000.0,140391995.0,119000.0,0.0,0.0,197462425.0
JULIA_STRATEGY_V00,2022-03-07,ENTRY,014710,사조씨푸드,2022-03-04,FASTCORE_FRESH_ENTRY,6400.0,0,781,781,140391995.0,-4998400.0,135393595.0,6400.0,0.0,0.0,197462425.0
JULIA_STRATEGY_V00,2022-03-07,ENTRY,003120,일성아이에스,2022-03-04,FASTCORE_FRESH_ENTRY,16000.0,0,312,312,135393595.0,-4992000.0,130401595.0,16000.0,0.0,0.0,197462425.0
JULIA_STRATEGY_V00,2022-03-07,ENTRY,005610,삼립,2022-03-04,FASTCORE_FRESH_ENTRY,91000.0,0,54,54,130401595.0,-4914000.0,125487595.0,91000.0,0.0,0.0,197462425.0
JULIA_STRATEGY_V00,2022-03-14,ENTRY,002700,신일전자,2022-03-11,FASTCORE_FRESH_ENTRY,2250.0,0,2222,2222,125487595.0,-4999500.0,120488095.0,2250.0,0.0,0.0,195330503.0
JULIA_STRATEGY_V00,2022-03-14,ENTRY,122310,제노레이,2022-03-11,FASTCORE_FRESH_ENTRY,10600.0,0,471,471,120488095.0,-4992600.0,115495495.0,10600.0,0.0,0.0,195330503.0
JULIA_STRATEGY_V00,2022-03-14,ENTRY,005800,신영와코루,2022-03-11,FASTCORE_FRESH_ENTRY,13100.0,0,381,381,115495495.0,-4991100.0,110504395.0,13100.0,0.0,0.0,195330503.0
JULIA_STRATEGY_V00,2022-03-21,ENTRY,069620,대웅제약,2022-03-18,FASTCORE_FRESH_ENTRY,171500.0,0,29,29,110504395.0,-4973500.0,105530895.0,171500.0,0.0,0.0,198057511.0
JULIA_STRATEGY_V00,2022-03-21,ENTRY,067900,와이엔텍,2022-03-18,FASTCORE_FRESH_ENTRY,14150.0,0,353,353,105530895.0,-4994950.0,100535945.0,14150.0,0.0,0.0,198057511.0
JULIA_STRATEGY_V00,2022-03-28,ENTRY,136480,하림,2022-03-25,FASTCORE_FRESH_ENTRY,3280.0,0,1524,1524,100535945.0,-4998720.0,95537225.0,3280.0,0.0,0.0,199307980.0
JULIA_STRATEGY_V00,2022-03-28,ENTRY,263800,데이타솔루션,2022-03-25,FASTCORE_FRESH_ENTRY,8200.0,0,609,609,95537225.0,-4993800.0,90543425.0,8200.0,0.0,0.0,199307980.0
JULIA_STRATEGY_V00,2022-03-28,ENTRY,056190,SFA,2022-03-25,FASTCORE_FRESH_ENTRY,40500.0,0,123,123,90543425.0,-4981500.0,85561925.0,40500.0,0.0,0.0,199307980.0
JULIA_STRATEGY_V00,2022-03-28,ENTRY,004380,삼익THK,2022-03-25,FASTCORE_FRESH_ENTRY,18273.0,0,273,273,85561925.0,-4988529.0,80573396.0,18273.0,0.0,0.0,199307980.0
JULIA_STRATEGY_V00,2022-03-28,ENTRY,001060,JW중외제약,2022-03-25,FASTCORE_FRESH_ENTRY,27624.0,0,181,181,80573396.0,-4999944.0,75573452.0,27624.0,0.0,0.0,199307980.0
JULIA_STRATEGY_V00,2022-03-28,ENTRY,039440,에스티아이,2022-03-25,FASTCORE_FRESH_ENTRY,19500.0,0,256,256,75573452.0,-4992000.0,70581452.0,19500.0,0.0,0.0,199307980.0
JULIA_STRATEGY_V00,2022-04-04,ENTRY,035600,KG이니시스,2022-04-01,FASTCORE_FRESH_ENTRY,22450.0,0,222,222,70581452.0,-4983900.0,65597552.0,22450.0,0.0,0.0,198923534.0
JULIA_STRATEGY_V00,2022-04-04,ENTRY,010780,아이에스동서,2022-04-01,FASTCORE_FRESH_ENTRY,55200.0,0,90,90,65597552.0,-4968000.0,60629552.0,55200.0,0.0,0.0,198923534.0
JULIA_STRATEGY_V00,2022-04-04,ENTRY,214430,아이쓰리시스템,2022-04-01,FASTCORE_FRESH_ENTRY,20700.0,0,241,241,60629552.0,-4988700.0,55640852.0,20700.0,0.0,0.0,198923534.0
JULIA_STRATEGY_V00,2022-04-04,ENTRY,024950,삼천리자전거,2022-04-01,FASTCORE_FRESH_ENTRY,13479.0,0,370,370,55640852.0,-4987230.0,50653622.0,13479.0,0.0,0.0,198923534.0
JULIA_STRATEGY_V00,2022-04-04,ENTRY,115960,연우,2022-04-01,FASTCORE_FRESH_ENTRY,27450.0,0,182,182,50653622.0,-4995900.0,45657722.0,27450.0,0.0,0.0,198923534.0
JULIA_STRATEGY_V00,2022-04-04,ENTRY,054050,NH농우바이오,2022-04-01,FASTCORE_FRESH_ENTRY,12600.0,0,396,396,45657722.0,-4989600.0,40668122.0,12600.0,0.0,0.0,198923534.0
JULIA_STRATEGY_V00,2022-04-04,ENTRY,006040,동원산업,2022-04-01,FASTCORE_FRESH_ENTRY,45647.0,0,109,109,40668122.0,-4975523.0,35692599.0,45647.0,0.0,0.0,198923534.0
JULIA_STRATEGY_V00,2022-04-11,ENTRY,000400,롯데손해보험,2022-04-08,FASTCORE_FRESH_ENTRY,2060.0,0,2427,2427,35692599.0,-4999620.0,30692979.0,2060.0,0.0,0.0,197982274.0
JULIA_STRATEGY_V00,2022-04-11,ENTRY,089590,제주항공,2022-04-08,FASTCORE_FRESH_ENTRY,21626.0,0,231,231,30692979.0,-4995606.0,25697373.0,21626.0,0.0,0.0,197982274.0
JULIA_STRATEGY_V00,2022-04-11,ENTRY,290650,엘앤씨바이오,2022-04-08,FASTCORE_FRESH_ENTRY,39709.0,0,125,125,25697373.0,-4963625.0,20733748.0,39709.0,0.0,0.0,197982274.0
JULIA_STRATEGY_V00,2022-04-18,ENTRY,086280,현대글로비스,2022-04-15,FASTCORE_FRESH_ENTRY,98038.0,0,51,51,20733748.0,-4999938.0,15733810.0,98038.0,0.0,0.0,200811167.0
JULIA_STRATEGY_V00,2022-04-18,ENTRY,014620,성광벤드,2022-04-15,FASTCORE_FRESH_ENTRY,9600.0,0,520,520,15733810.0,-4992000.0,10741810.0,9600.0,0.0,0.0,200811167.0
JULIA_STRATEGY_V00,2022-04-18,ENTRY,065510,휴비츠,2022-04-15,FASTCORE_FRESH_ENTRY,10900.0,0,458,458,10741810.0,-4992200.0,5749610.0,10900.0,0.0,0.0,200811167.0
JULIA_STRATEGY_V00,2022-04-18,ENTRY,007540,샘표,2022-04-15,FASTCORE_FRESH_ENTRY,58000.0,0,86,86,5749610.0,-4988000.0,761610.0,58000.0,0.0,0.0,200811167.0
JULIA_STRATEGY_V00,2022-04-18,ENTRY,067830,세이브존I&C,2022-04-15,FASTCORE_FRESH_ENTRY,3640.0,0,209,209,761610.0,-760760.0,850.0,3640.0,0.0,0.0,200811167.0
JULIA_STRATEGY_V00,2022-07-04,FULL_EXIT,047810,한국항공우주,2022-06-30,EXIT4_SCORE_DRAWDOWN_GE_15,57300.0,138,-138,0,850.0,7907400.0,7908250.0,36100.0,2925600.0,58.725762,168697900.0
JULIA_STRATEGY_V00,2022-07-04,ENTRY,010060,OCI홀딩스,2022-07-01,FASTCORE_FRESH_ENTRY,113636.0,0,44,44,7908250.0,-4999984.0,2908266.0,113636.0,0.0,0.0,168697900.0
JULIA_STRATEGY_V00,2022-07-04,ENTRY,004990,롯데지주,2022-07-01,FASTCORE_FRESH_ENTRY,37950.0,0,76,76,2908266.0,-2884200.0,24066.0,37950.0,0.0,0.0,168697900.0
JULIA_STRATEGY_V00,2022-07-04,ENTRY,033100,제룡전기,2022-07-01,FASTCORE_FRESH_ENTRY,7100.0,0,3,3,24066.0,-21300.0,2766.0,7100.0,0.0,0.0,168697900.0
JULIA_STRATEGY_V00,2022-08-08,ENTRY,010050,우리종금,2022-08-05,FASTCORE_FRESH_ENTRY,956.0,0,2,2,2766.0,-1912.0,854.0,956.0,0.0,0.0,176372514.0
JULIA_STRATEGY_V00,2022-12-05,FULL_EXIT,014620,성광벤드,2022-11-30,EXIT4_SCORE_DRAWDOWN_GE_15,14450.0,520,-520,0,854.0,7514000.0,7514854.0,9600.0,2522000.0,50.520833,161352330.0
JULIA_STRATEGY_V00,2022-12-05,ENTRY,006400,삼성SDI,2022-12-02,FASTCORE_FRESH_ENTRY,702945.0,0,7,7,7514854.0,-4920615.0,2594239.0,702945.0,0.0,0.0,161352330.0
JULIA_STRATEGY_V00,2022-12-05,ENTRY,002200,한국수출포장,2022-12-02,FASTCORE_FRESH_ENTRY,2905.0,0,893,893,2594239.0,-2594165.0,74.0,2905.0,0.0,0.0,161352330.0
JULIA_STRATEGY_V00,2023-03-06,FULL_EXIT,033100,제룡전기,2023-02-28,EXIT4_SCORE_DRAWDOWN_GE_15,13150.0,3,-3,0,74.0,39450.0,39524.0,7100.0,18150.0,85.211268,172397186.0
JULIA_STRATEGY_V00,2023-03-06,ENTRY,001800,오리온홀딩스,2023-03-03,FASTCORE_FRESH_ENTRY,15230.0,0,2,2,39524.0,-30460.0,9064.0,15230.0,0.0,0.0,172397186.0
JULIA_STRATEGY_V00,2023-03-06,ENTRY,042110,에스씨디,2023-03-03,FASTCORE_FRESH_ENTRY,2185.0,0,4,4,9064.0,-8740.0,324.0,2185.0,0.0,0.0,172397186.0
JULIA_STRATEGY_V00,2023-08-07,FULL_EXIT,065510,휴비츠,2023-07-31,EXIT4_SCORE_DRAWDOWN_GE_15,24150.0,458,-458,0,324.0,11060700.0,11061024.0,10900.0,6068500.0,121.559633,182109784.0
JULIA_STRATEGY_V00,2023-08-07,ENTRY,017960,한국카본,2023-08-04,FASTCORE_FRESH_ENTRY,14360.0,0,348,348,11061024.0,-4997280.0,6063744.0,14360.0,0.0,0.0,182109784.0
