audit_type,candidate_id,ticker,isu_cd,market,name,signal_date,signal_information_date,fast_score,fast_score_status,pattern_a_stage,fast_machine_stage,mcap,mcap_threshold,mcap_status,market_cap,market_cap_source,market_cap_anchor_date,mcap_source_file,raw_fast_signal_status,liquidity_filter_applied,price_filter_applied,fresh_signal_status,strategy_id,signal_id,scheduled_execution_date,ranking,execution_result,source,anchor_date,status,final_status
FRESH_FAST_SIGNAL,000050|KR7000050005|KOSPI|2022-04-29,000050,KR7000050005,KOSPI,경방,2022-04-29,2022-04-29,73.24,READY,EARLY_TREND,TRIGGER,435902793000.0,100000000000.0,PASS,435902793000.0,ACTUAL_KRX,2022-04-29,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220429.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2022-04-29,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000070|KR7000070003|KOSPI|2025-06-13,000070,KR7000070003,KOSPI,삼양홀딩스,2025-06-13,2025-06-13,80.99,READY,TRANSITION,TRIGGER,737383431115.8322,100000000000.0,PASS,737383431115.8322,PROXY_ANCHOR_PRICE_RATIO,2025-03-28,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-03-28,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000070|KR7000070003|KOSPI|2025-06-20,000070,KR7000070003,KOSPI,삼양홀딩스,2025-06-20,2025-06-20,80.99,READY,TRANSITION,TRIGGER,746803827231.6643,100000000000.0,PASS,746803827231.6643,PROXY_ANCHOR_PRICE_RATIO,2025-03-28,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-03-28,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000070|KR7000070003|KOSPI|2025-06-27,000070,KR7000070003,KOSPI,삼양홀딩스,2025-06-27,2025-06-27,80.99,READY,TRANSITION,TRIGGER,744732445500.0,100000000000.0,PASS,744732445500.0,ACTUAL_KRX,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2025-06-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000070|KR7000070003|KOSPI|2025-09-19,000070,KR7000070003,KOSPI,삼양홀딩스,2025-09-19,2025-09-19,76.8,READY,TRANSITION,TRIGGER,805703547489.8779,100000000000.0,PASS,805703547489.8779,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000070|KR7000070003|KOSPI|2025-10-24,000070,KR7000070003,KOSPI,삼양홀딩스,2025-10-24,2025-10-24,77.99,READY,EARLY_TREND,TRIGGER,912843518616.6001,100000000000.0,PASS,912843518616.6001,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000120|KR7000120006|KOSPI|2024-01-05,000120,KR7000120006,KOSPI,CJ대한통운,2024-01-05,2024-01-05,73.24,READY,TRANSITION,TRIGGER,2853824234400.0,100000000000.0,PASS,2853824234400.0,ACTUAL_KRX,2024-01-05,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240105.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2024-01-05,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000120|KR7000120006|KOSPI|2024-01-12,000120,KR7000120006,KOSPI,CJ대한통운,2024-01-12,2024-01-12,77.99,READY,TRANSITION,TRIGGER,2999823236000.0,100000000000.0,PASS,2999823236000.0,ACTUAL_KRX,2024-01-12,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240112.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2024-01-12,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000120|KR7000120006|KOSPI|2024-01-26,000120,KR7000120006,KOSPI,CJ대한통운,2024-01-26,2024-01-26,78.49,READY,TRANSITION,TRIGGER,3102478784000.0,100000000000.0,PASS,3102478784000.0,ACTUAL_KRX,2024-01-26,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240126.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2024-01-26,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000120|KR7000120006|KOSPI|2026-01-30,000120,KR7000120006,KOSPI,CJ대한통운,2026-01-30,2026-01-30,77.99,READY,TRANSITION,TRIGGER,2367921307200.0,100000000000.0,PASS,2367921307200.0,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000120|KR7000120006|KOSPI|2026-02-06,000120,KR7000120006,KOSPI,CJ대한통운,2026-02-06,2026-02-06,72.74,READY,TRANSITION,TRIGGER,2481983027200.0,100000000000.0,PASS,2481983027200.0,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000100|KR7000100008|KOSPI|2023-06-02,000100,KR7000100008,KOSPI,유한양행,2023-06-02,2023-06-02,79.3,READY,TRANSITION,TRIGGER,4682621942700.0,100000000000.0,PASS,4682621942700.0,ACTUAL_KRX,2023-06-02,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230602.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-06-02,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000100|KR7000100008|KOSPI|2023-06-09,000100,KR7000100008,KOSPI,유한양행,2023-06-09,2023-06-09,79.8,READY,TRANSITION,TRIGGER,4628974882800.0,100000000000.0,PASS,4628974882800.0,ACTUAL_KRX,2023-06-09,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230609.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-06-09,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000100|KR7000100008|KOSPI|2023-06-16,000100,KR7000100008,KOSPI,유한양행,2023-06-16,2023-06-16,79.8,READY,TRANSITION,TRIGGER,4491025300200.0,100000000000.0,PASS,4491025300200.0,ACTUAL_KRX,2023-06-16,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230616.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-06-16,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000100|KR7000100008|KOSPI|2023-06-23,000100,KR7000100008,KOSPI,유한양행,2023-06-23,2023-06-23,79.8,READY,TRANSITION,TRIGGER,4437378240300.0,100000000000.0,PASS,4437378240300.0,ACTUAL_KRX,2023-06-23,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230623.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-06-23,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000100|KR7000100008|KOSPI|2023-06-30,000100,KR7000100008,KOSPI,유한양행,2023-06-30,2023-06-30,79.8,READY,TRANSITION,TRIGGER,4628974882800.0,100000000000.0,PASS,4628974882800.0,ACTUAL_KRX,2023-06-30,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230630.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-06-30,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000100|KR7000100008|KOSPI|2023-07-07,000100,KR7000100008,KOSPI,유한양행,2023-07-07,2023-07-07,79.8,READY,TRANSITION,TRIGGER,4345411851900.0,100000000000.0,PASS,4345411851900.0,ACTUAL_KRX,2023-07-07,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230707.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-07-07,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000100|KR7000100008|KOSPI|2023-07-14,000100,KR7000100008,KOSPI,유한양행,2023-07-14,2023-07-14,79.8,READY,TRANSITION,TRIGGER,4560000091500.0,100000000000.0,PASS,4560000091500.0,ACTUAL_KRX,2023-07-14,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230714.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-07-14,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000100|KR7000100008|KOSPI|2023-07-21,000100,KR7000100008,KOSPI,유한양행,2023-07-21,2023-07-21,79.3,READY,TRANSITION,TRIGGER,5134790019000.0,100000000000.0,PASS,5134790019000.0,ACTUAL_KRX,2023-07-21,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230721.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-07-21,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000100|KR7000100008|KOSPI|2023-07-28,000100,KR7000100008,KOSPI,유한양행,2023-07-28,2023-07-28,77.99,READY,TRANSITION,TRIGGER,5311058930100.0,100000000000.0,PASS,5311058930100.0,ACTUAL_KRX,2023-07-28,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230728.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-07-28,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000100|KR7000100008|KOSPI|2023-09-08,000100,KR7000100008,KOSPI,유한양행,2023-09-08,2023-09-08,78.49,READY,EARLY_TREND,TRIGGER,5594621961000.0,100000000000.0,PASS,5594621961000.0,ACTUAL_KRX,2023-09-08,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230908.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-09-08,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000100|KR7000100008|KOSPI|2023-09-15,000100,KR7000100008,KOSPI,유한양행,2023-09-15,2023-09-15,78.49,READY,EARLY_TREND,TRIGGER,5786218603500.0,100000000000.0,PASS,5786218603500.0,ACTUAL_KRX,2023-09-15,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230915.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-09-15,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000150|KR7000150003|KOSPI|2022-11-25,000150,KR7000150003,KOSPI,두산,2022-11-25,2022-11-25,73.29,READY,TRANSITION,TRIGGER,1616031063000.0,100000000000.0,PASS,1616031063000.0,ACTUAL_KRX,2022-11-25,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20221125.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2022-11-25,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000150|KR7000150003|KOSPI|2023-03-10,000150,KR7000150003,KOSPI,두산,2023-03-10,2023-03-10,73.29,READY,EARLY_TREND,TRIGGER,1779617029500.0,100000000000.0,PASS,1779617029500.0,ACTUAL_KRX,2023-03-10,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230310.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-03-10,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000150|KR7000150003|KOSPI|2023-03-17,000150,KR7000150003,KOSPI,두산,2023-03-17,2023-03-17,73.79,READY,EARLY_TREND,TRIGGER,1768050345000.0,100000000000.0,PASS,1768050345000.0,ACTUAL_KRX,2023-03-17,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230317.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-03-17,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000180|KR7000180000|KOSPI|2025-09-05,000180,KR7000180000,KOSPI,성창기업지주,2025-09-05,2025-09-05,71.05,READY,TRANSITION,TRIGGER,120949274400.00002,100000000000.0,PASS,120949274400.00002,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000210|KR7000210005|KOSPI|2025-07-04,000210,KR7000210005,KOSPI,DL,2025-07-04,2025-07-04,65.54,READY,TRANSITION,TRIGGER,1045698611600.0,100000000000.0,PASS,1045698611600.0,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000210|KR7000210005|KOSPI|2025-07-11,000210,KR7000210005,KOSPI,DL,2025-07-11,2025-07-11,76.04,READY,TRANSITION,TRIGGER,1079228026000.0,100000000000.0,PASS,1079228026000.0,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000210|KR7000210005|KOSPI|2025-07-18,000210,KR7000210005,KOSPI,DL,2025-07-18,2025-07-18,70.79,READY,TRANSITION,TRIGGER,1102279498400.0,100000000000.0,PASS,1102279498400.0,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000210|KR7000210005|KOSPI|2025-07-25,000210,KR7000210005,KOSPI,DL,2025-07-25,2025-07-25,76.04,READY,TRANSITION,TRIGGER,1112757440400.0,100000000000.0,PASS,1112757440400.0,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000210|KR7000210005|KOSPI|2026-02-27,000210,KR7000210005,KOSPI,DL,2026-02-27,2026-02-27,74.99,READY,TRANSITION,TRIGGER,1083419202799.9999,100000000000.0,PASS,1083419202799.9999,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000210|KR7000210005|KOSPI|2026-03-27,000210,KR7000210005,KOSPI,DL,2026-03-27,2026-03-27,81.92,READY,TRANSITION,TRIGGER,1311838338400.0,100000000000.0,PASS,1311838338400.0,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000210|KR7000210005|KOSPI|2026-04-17,000210,KR7000210005,KOSPI,DL,2026-04-17,2026-04-17,77.99,READY,TRANSITION,TRIGGER,1353750106400.0,100000000000.0,PASS,1353750106400.0,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000210|KR7000210005|KOSPI|2026-04-24,000210,KR7000210005,KOSPI,DL,2026-04-24,2026-04-24,77.99,READY,TRANSITION,TRIGGER,1437573642400.0,100000000000.0,PASS,1437573642400.0,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000230|KR7000230003|KOSPI|2025-11-07,000230,KR7000230003,KOSPI,일동홀딩스,2025-11-07,2025-11-07,72.74,READY,TRANSITION,TRIGGER,154987572000.0,100000000000.0,PASS,154987572000.0,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000240|KR7000240002|KOSPI|2023-12-01,000240,KR7000240002,KOSPI,한국앤컴퍼니,2023-12-01,2023-12-01,75.74,READY,TRANSITION,TRIGGER,1463901400800.0,100000000000.0,PASS,1463901400800.0,ACTUAL_KRX,2023-12-01,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20231201.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-12-01,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000240|KR7000240002|KOSPI|2024-09-13,000240,KR7000240002,KOSPI,한국앤컴퍼니,2024-09-13,2024-09-13,80.24,READY,TRANSITION,TRIGGER,1689847272000.0,100000000000.0,PASS,1689847272000.0,PROXY_ANCHOR_PRICE_RATIO,2024-07-12,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2024-07-12,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000240|KR7000240002|KOSPI|2024-09-20,000240,KR7000240002,KOSPI,한국앤컴퍼니,2024-09-20,2024-09-20,80.74,READY,TRANSITION,TRIGGER,1638582242399.9998,100000000000.0,PASS,1638582242399.9998,PROXY_ANCHOR_PRICE_RATIO,2024-07-12,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2024-07-12,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000240|KR7000240002|KOSPI|2024-09-27,000240,KR7000240002,KOSPI,한국앤컴퍼니,2024-09-27,2024-09-27,80.74,READY,TRANSITION,TRIGGER,1614848432400.0,100000000000.0,PASS,1614848432400.0,ACTUAL_KRX,2024-09-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2024-09-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000240|KR7000240002|KOSPI|2024-10-04,000240,KR7000240002,KOSPI,한국앤컴퍼니,2024-10-04,2024-10-04,80.74,READY,TRANSITION,TRIGGER,1599658794000.0,100000000000.0,PASS,1599658794000.0,PROXY_ANCHOR_PRICE_RATIO,2024-09-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2024-09-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000240|KR7000240002|KOSPI|2024-10-11,000240,KR7000240002,KOSPI,한국앤컴퍼니,2024-10-11,2024-10-11,82.05,READY,TRANSITION,TRIGGER,1641430299600.0,100000000000.0,PASS,1641430299600.0,PROXY_ANCHOR_PRICE_RATIO,2024-09-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2024-09-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000240|KR7000240002|KOSPI|2024-11-01,000240,KR7000240002,KOSPI,한국앤컴퍼니,2024-11-01,2024-11-01,82.05,READY,TRANSITION,TRIGGER,1616747137200.0,100000000000.0,PASS,1616747137200.0,PROXY_ANCHOR_PRICE_RATIO,2024-09-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2024-09-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000240|KR7000240002|KOSPI|2024-11-08,000240,KR7000240002,KOSPI,한국앤컴퍼니,2024-11-08,2024-11-08,82.05,READY,TRANSITION,TRIGGER,1600608146400.0,100000000000.0,PASS,1600608146400.0,PROXY_ANCHOR_PRICE_RATIO,2024-09-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2024-09-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000240|KR7000240002|KOSPI|2024-11-22,000240,KR7000240002,KOSPI,한국앤컴퍼니,2024-11-22,2024-11-22,78.55,READY,TRANSITION,TRIGGER,1615797784800.0,100000000000.0,PASS,1615797784800.0,PROXY_ANCHOR_PRICE_RATIO,2024-09-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2024-09-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000240|KR7000240002|KOSPI|2025-07-04,000240,KR7000240002,KOSPI,한국앤컴퍼니,2025-07-04,2025-07-04,77.99,READY,EARLY_TREND,TRIGGER,1969906230000.0,100000000000.0,PASS,1969906230000.0,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000240|KR7000240002|KOSPI|2025-07-11,000240,KR7000240002,KOSPI,한국앤컴퍼니,2025-07-11,2025-07-11,77.99,READY,EARLY_TREND,TRIGGER,2287939284000.0,100000000000.0,PASS,2287939284000.0,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,PROXY_ANCHOR_PRICE_RATIO,2025-06-27,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000270|KR7000270009|KOSPI|2023-03-31,000270,KR7000270009,KOSPI,기아,2023-03-31,2023-03-31,79.3,READY,TRANSITION,TRIGGER,32834431107000.0,100000000000.0,PASS,32834431107000.0,ACTUAL_KRX,2023-03-31,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230331.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-03-31,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000270|KR7000270009|KOSPI|2023-04-07,000270,KR7000270009,KOSPI,기아,2023-04-07,2023-04-07,79.8,READY,TRANSITION,TRIGGER,32469604094700.0,100000000000.0,PASS,32469604094700.0,ACTUAL_KRX,2023-04-07,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230407.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-04-07,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000270|KR7000270009|KOSPI|2023-04-14,000270,KR7000270009,KOSPI,기아,2023-04-14,2023-04-14,79.3,READY,TRANSITION,TRIGGER,34577493499100.0,100000000000.0,PASS,34577493499100.0,ACTUAL_KRX,2023-04-14,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230414.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-04-14,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000270|KR7000270009|KOSPI|2023-04-21,000270,KR7000270009,KOSPI,기아,2023-04-21,2023-04-21,79.8,READY,TRANSITION,TRIGGER,33766766805100.0,100000000000.0,PASS,33766766805100.0,ACTUAL_KRX,2023-04-21,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230421.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-04-21,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000270|KR7000270009|KOSPI|2023-04-28,000270,KR7000270009,KOSPI,기아,2023-04-28,2023-04-28,78.49,READY,EARLY_TREND,TRIGGER,34253202821500.0,100000000000.0,PASS,34253202821500.0,ACTUAL_KRX,2023-04-28,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230428.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-04-28,PASS,FRESH_SIGNAL_MCAP_PASS
FRESH_FAST_SIGNAL,000270|KR7000270009|KOSPI|2023-05-12,000270,KR7000270009,KOSPI,기아,2023-05-12,2023-05-12,79.8,READY,EARLY_TREND,TRIGGER,36239483221800.0,100000000000.0,PASS,36239483221800.0,ACTUAL_KRX,2023-05-12,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230512.csv,RAW_FAST_SIGNAL,False,False,FRESH_SIGNAL_MCAP_PASS,,,,,,ACTUAL_KRX,2023-05-12,PASS,FRESH_SIGNAL_MCAP_PASS
